populacao,indice_renda_per_capta,porcentagem_nivel_basico,porcentagem_sem_nivel_medio,porcentagem_com_nivel_superior,porcentagem_desempregados,porcentagem_de_roubos_a_cada_100_mil
14877,15869,5.39,19,19.52,6.41,19.58
14903,11457,12.38,33.58,13.66,7.76,324.66
14903,16920,7.82,22.85,17.18,4.24,299.82
14904,19743,2.45,7.58,48.97,2.92,34.31
14917,11713,16.55,39.6,14.21,4.75,72.29
14936,46038,2.89,9.91,51.24,2.55,13.35
14939,11761,17.47,39.42,12.49,6.66,210.9
14967,16348,6.84,15.17,23.44,2.87,80.38
14979,9531,16.63,35.44,9.96,7.38,17.54
14985,16986,3.47,12.82,37.07,5.3,6.7
14988,10377,13.83,33.47,18.06,9.5,98.37
15004,15062,6.81,21.62,14.04,2.91,117.95
15004,12045,16.4,31.37,17.22,04.01,22.59
15023,13807,6.52,20.96,20.38,5.84,88.65
15026,11646,10.27,24.71,19.77,6.82,52.55
15066,15138,9.46,25.93,18.95,3.76,89.29
15076,11240,7.53,23.06,13.82,9.82,85.11
15080,16176,6.68,19.5,20.47,3.4,39.12
15085,12845,18.01,35.02,18.81,04.05,124.46
15115,15344,15.09,32.23,14.06,7.19,61.76
15116,14636,6.31,15.93,28.71,4.19,12.67
15124,17693,4.42,12.19,28.31,4.5,61.85
15128,19096,3.31,10.83,29.54,2.38,33.92
15134,13161,11.66,21.86,15.23,4.52,25.17
15157,24516,1.95,6.87,42.62,3.85,6.45
15180,11454,13.16,28.18,21.71,5.51,21.86
15181,14405,9,19.37,20.74,5.98,19.48
15195,13137,16.94,35.79,16.24,5.31,116.75
15197,10676,4.66,14.28,36.89,9.44,38.64
15216,15464,2.64,9.45,16.84,5.2,14.86
15223,23583,03.04,9.6,32.49,3.32,210.69
15238,11034,20.61,42.28,8.87,4.86,118.11
15244,9490,6.95,16,35.13,8.12,71.5
15254,18304,05.07,16.98,24,2.17,25.78
15280,12195,7.82,24.58,9.55,5.34,115.76
15289,15535,6.37,17.6,26.62,3.63,187.16
15302,10383,8.54,27.43,5.57,9.63,50.88
15324,15992,5.9,17.59,20.23,3.96,150.67
15337,11025,08.08,28.14,08.06,4.13,21.8
15346,12589,7.49,24.95,14.8,5.44,108.45
15351,16134,5.83,18.08,25.47,3.62,101.92
15372,33124,4.54,9.95,45.5,2.25,18.85
15392,19337,3.34,11.15,31.52,2.5,99.45
15403,13083,9.54,25.96,18.84,4.21,40.37
15411,15100,12.11,26.72,18.71,4.6,98.5
15414,10161,11.13,27.8,9.97,7.84,150.98
15440,14482,7.84,18.63,16.75,5.18,12.1
15464,12724,23.35,43.5,13.42,6.62,574.53
15467,29244,2.1,5.98,51.96,3.51,6.29
15472,10647,09.02,29.35,6.79,5.53,83.27
15489,17412,1.5,7.93,33.6,4.36,18.27
15512,20399,3.36,13.72,26.62,4.64,92.72
15517,24141,02.02,6.31,51.19,4.59,12.51
15520,11196,14.36,40.94,07.06,8.61,788.08
15527,19066,1.19,6.43,35.61,3.54,10.55
15535,12121,14.93,34.99,7.21,06.09,306.73
15550,10868,16.78,38.44,8.11,10.84,5.97
15561,16162,2.4,10.81,21.16,4.63,106.99
15568,19940,4.45,13,35.58,3.23,6.32
15571,11401,15.87,24.31,19.23,3.94,19.43
15600,29785,4.36,11.91,38.37,4.7,18.57
15607,14506,06.09,18.02,19.99,5.24,56.26
15614,12684,8.39,24,21.74,8.11,131.62
15616,24637,3.8,10.04,42.03,2.46,6.26
15624,15018,5.87,17.23,21.89,3.4,41.07
15644,11819,3.87,15.92,22.23,07.05,5.89
15648,17668,2.52,7.34,37.44,1.9,34.92
15655,10912,21.8,43.91,11.92,7.91,447.33
15675,11781,12.89,30.94,12.41,7.4,32.9
15698,11612,8.41,23.23,9.77,8.37,53.87
15714,10162,11.04,27.26,11.04,7.39,17.73
15718,14640,6.45,20.44,22.69,5.68,23.65
15722,11736,13.79,34.35,11.85,6.92,112.72
15743,14824,8.47,22.98,17.39,7.74,25.89
15745,13301,5.79,23.01,12.44,9.34,436.49
15757,12236,12.66,33.88,8.82,6.47,25.11
15791,8791,31.51,46.11,10.39,15.46,82.51
15799,10832,19.51,37.65,11.36,6.17,35.83
15820,10491,12.72,29.43,23.32,8.39,62.69
15849,24965,2.91,11.13,46.4,3.98,31.69
15850,28597,6.1,12.51,49.26,3.51,25.25
15854,9178,13.55,30.65,26.7,7.5,101.77
15915,11102,19.3,42.61,9.83,4.6,233.55
15940,9704,11.84,24.56,29.06,06.07,18.81
15945,13570,7.78,17.69,21.02,5.87,42.17
15979,13303,5.45,17.79,16.17,2.84,31.44
15989,41249,2.29,5.34,62.17,3.83,12.32
15990,19643,7.21,18.46,25.49,5.73,18.62
16021,30761,2.23,6,65.87,2.85,42.51
16023,15534,04.07,14.21,21.25,5.39,105.48
16027,12545,11.31,33.85,12.21,8.58,530.27
16029,11647,17.3,35.69,20.73,7.5,131.45
16064,15639,8.71,22.19,16.69,3.93,90.3
16064,14962,04.06,13.5,22.36,6.19,41.1
16113,12339,5.75,23.97,11.33,6.25,32.48
16116,30643,05.08,12.1,45.01,03.03,48.5
16117,19533,3.76,10.76,35.8,3.63,72.27
16121,13266,7.46,21.1,13.37,4.97,25.4
16127,11070,14.65,35.05,14.58,06.03,187.14
16139,19314,5.19,12.22,37.87,2.42,55.5
16162,13742,18.52,37.05,15.82,5.68,137.7
16169,8990,27.72,42.85,9.37,11.09,107.61
16189,22036,8.68,21.61,32.43,05.03,291.07
16192,14248,5.17,15.74,13.87,3.85,17.4
16196,14624,12.82,33.22,13.36,6.53,23.71
16200,11749,18.7,32.58,14.92,9.11,68.39
16202,17574,7.61,17.31,28.55,2.11,20.02
16210,9361,16.5,39.28,7.75,8.24,96.05
16234,12898,03.04,9.95,42.71,6.19,63.76
16270,9723,9.93,15.55,34.66,3.91,11.47
16312,11005,18.2,36.91,16.75,8.37,300.63
16317,11400,25.26,44.8,11.96,7.35,111.1
16322,11545,7.52,24.5,11.28,12.21,29.92
16327,18158,2.94,8.15,55.47,2.96,247.63
16362,12533,16.42,34.52,15.32,3.91,250.17
16366,30737,0.57,02.09,58.44,1.32,36.61
16367,20168,1.96,7.91,36.54,2.64,26.46
16370,10560,13.4,34.63,11.75,09.04,33.84
16376,14770,5.27,12.1,18.08,3.59,28.72
16389,11390,07.03,25.58,12.37,5.14,35.1
16390,30465,3.25,9.98,53.09,3.64,492.26
16392,27417,0.72,4.95,54.34,3.1,9.27
16392,21878,2.96,9.51,39.26,5.41,5.88
16410,9009,20.25,43.86,11.17,8.17,301.15
16425,17659,7.25,18.25,20.88,2.87,23.94
16433,8937,15.03,37.67,10.36,9.38,552.76
16444,19266,2.42,7.82,39.7,2.92,144.54
16466,8651,13.8,39.44,3.37,10.59,176.27
16491,10590,8.87,27.12,18.94,7.43,463.75
16512,9257,17.43,37.86,17.47,10.62,135.07
16513,13686,06.09,19.02,12.46,4.93,81.62
16534,17106,05.02,13.06,26.02,2.2,44.05
16543,14501,5.99,20.63,18.03,6.83,138.51
16554,21918,5.45,14.72,31.9,2.38,36.21
16565,11816,09.02,26.57,12.41,10.96,116.76
16581,11672,18.6,40.25,12.41,6.12,259.63
16603,11523,11.34,30.52,12.13,7.2,18.04
16609,7371,17.18,32.7,22.05,14.52,207.51
16642,40558,0.62,2.95,66.02,2.98,34.28
16656,10810,11.05,33.68,10.81,9.86,57.86
16685,16342,05.02,16.6,25.56,3.37,40.66
16761,12606,13.96,26.24,21.59,5.45,38.84
16786,22156,1.89,6.75,39.95,4.75,5.6
16787,19974,6.6,17.63,22.86,4.18,41.66
16797,10963,17.15,31.84,12.11,9.86,12.85
16799,11267,11.2,31.25,13.53,11.82,956.27
16812,10268,9.27,29.84,6.83,9.68,11.75
16825,12406,15.34,33.74,10.12,7.11,18.93
16829,18948,3.93,9.73,34.73,4.37,40.58
16839,8461,34.08,50.77,6.69,15.72,44.37
16848,14479,8.27,24.64,21.32,4.29,64.54
16849,14872,2.4,8.53,19.09,3.64,24.1
16857,17899,5.94,13.7,34.67,5.48,11.65
16881,22512,1.79,5.29,46.99,2.28,04.02
16896,21441,04.04,10.87,36.09,4.25,23.32
16901,12954,14.75,33.7,20.39,06.03,37.13
16919,20808,7.94,19.73,26.56,5,41.57
16922,19940,6.2,19.28,23.32,3.96,29.45
16925,11946,11.29,35.51,7.38,6.32,520.65
16946,11397,07.03,21.68,17.91,8.14,41.16
16960,15487,3.45,16.57,20.53,5.12,66.05
16996,9100,21.98,41.94,11.8,8.52,108.71
17032,11346,07.09,23.31,15.61,7.28,166.97
17038,19544,5.85,17.15,28.03,5.16,56.1
17076,15169,5.18,18.18,23.64,4.18,105.32
17084,19342,10.55,22.97,22.52,3.95,27.52
17085,11563,13.28,26.2,15.95,4.26,44.3
17118,18380,6.29,16.84,29.72,03.05,11.49
17140,13022,7.32,19.53,14.37,5.2,99.8
17173,12002,12.33,25.49,22.24,7.63,18.47
17176,11252,4.32,12.44,17.41,5.35,5.26
17187,19349,7.41,18.96,20.95,04.09,11.46
17192,14148,7.6,17.45,16.42,5.6,35.62
17208,8836,18.11,39.82,7.97,11.14,640.77
17215,11964,8.72,26.26,11.07,5.64,61.02
17283,16778,3.91,13.79,19.9,4.22,203.97
17301,20421,2.76,8.31,37.73,4.44,28.03
17313,23917,2.26,10.94,39.06,3.19,16.87
17336,16075,7.97,20.56,40.51,5.77,532.15
17350,20310,5.71,19.48,23.51,7.16,135.77
17363,10893,13.04,30.14,15.99,5.41,434.57
17366,12642,10.44,26.91,23.13,06.07,147.12
17384,13221,12.56,26.53,20.47,6.59,56.85
17392,17207,8.24,23.93,16.74,4.76,28.72
17400,15365,7.65,16.78,42.32,4.72,161.55
17406,9710,13.37,35.63,5.85,5.17,186.34
17457,11204,15.97,34.89,18.42,6.6,218.39
17460,18000,3.79,14.57,20.42,4.48,334.29
17488,11607,7.68,23.86,14,9.34,137.25
17531,11481,15.82,24.73,16.66,5.23,37.49
17541,20528,5.13,13.56,32.18,5.14,16.85
17592,10660,14.04,23.65,14.08,5.53,21.91
17623,17910,14.86,32.3,15,05.05,78.2
17625,14716,8.35,20.07,18.13,5.17,3.78
17635,13671,2.38,11.26,17.9,5.31,15.86
17637,8940,24.71,53.08,5.65,9.85,158.91
17647,13486,6.56,18.19,17.65,5.91,85.63
17648,11267,8.68,26.83,10.41,10.08,87.85
17651,17275,4.44,16.39,20.63,6.12,27.32
17655,15030,16.38,30.13,21.2,6.26,5.37
17655,17445,6.92,18.89,29.14,2.82,19.77
17668,16936,3.49,12.12,38.51,3.78,236.86
17710,12919,5.96,20.41,14.37,7.46,78.04
17715,26992,2.55,8.42,44.58,2.21,56.67
17728,15609,6.52,17.03,20.94,5.35,21.99
17737,10936,09.09,24.67,15.75,9.39,130.47
17753,10160,16.46,36.54,7.94,11.23,31.78
17779,17245,6.65,18.65,23.32,03.04,507.5
17790,20579,07.01,16.92,32.44,4.17,28.07
17825,19810,05.05,12.9,25.01,2.94,5.42
17834,13678,9.31,23.03,14.92,4.12,49.45
17837,8809,13.53,35.31,10.42,15.88,198.21
17864,52692,1.83,5.11,62.6,2.77,11.03
17866,9292,4.64,13.48,10.08,3.28,115.29
17885,14978,13.78,31.82,24.89,05.04,236.44
17894,12434,7.67,19.31,19.17,4.83,72.63
17905,27731,4.63,10.36,43.34,3.98,37.45
17906,13557,8.74,25.82,15.15,6.91,162.61
17916,14652,5.58,17.63,13.22,4.13,69.49
17930,19537,7.38,18.15,22.31,4.4,72.83
17987,13127,12.9,29.94,10.78,6.31,129.91
18004,10050,12.73,31.64,13.94,9.47,38.33
18041,13082,6.38,19.48,31.7,5.7,153.46
18042,10087,12.27,28.73,14.2,6.87,182.36
18045,18695,8.52,23.89,22.57,4.91,16.12
18059,10473,10.93,28.67,14.11,11.12,16.91
18074,11783,11.11,29.49,12.41,5.72,37.64
18082,20589,3.82,10.41,38.96,2.23,21.75
18100,9946,10.37,29.89,7.25,6.82,22.62
18150,11901,5.32,19.47,11.63,5.53,23.96
18167,12955,13.85,25.81,19.9,6.32,66.53
18168,10722,11.83,29.57,16.26,7.35,130.21
18170,11934,15.61,29.38,15.35,7.84,140.3
18177,18770,6.17,18.86,20.15,4.48,21.44
18177,11742,13.94,30,14.25,05.06,45.11
18196,51795,1.85,6.27,59.34,3.31,21.66
18219,33510,0.7,4.11,55.06,1.87,174.11
18230,12984,8.55,22.35,19.22,6.24,5.67
18245,13106,10.99,21.56,12.43,07.06,10.81
18261,20404,8.68,20.14,31.88,2.65,43.08
18262,17752,12.36,29.89,14.99,4.55,52.45
18296,12371,13.48,28.37,19.3,8.32,248.47
18309,16040,1.8,6.27,31.9,03.09,3.61
18310,11516,13.22,24.27,14.05,9.37,11.08
18334,14458,8.25,24.14,11.26,6.57,185.23
18372,9562,18.65,43.93,8.74,16.36,772.25
18374,16207,2.55,10.47,20.33,2.93,46.49
18387,9185,16.36,35.35,15.25,9.51,73.19
18400,9511,15.22,32.97,12.63,6.41,20.32
18403,14833,10.97,27.16,12.52,7.55,77.11
18405,13377,8.57,27.33,12.81,8.95,326.35
18419,13797,10.23,24.39,27.48,3.54,189.4
18458,10198,08.08,20.46,41.21,6.7,111.46
18482,14557,1.84,6.14,29.1,02.07,4.69
18519,10204,3.54,7.68,48.53,06.09,5.15
18530,22035,3.28,9.89,32.68,5,26.63
18540,10444,20.78,39.87,11.26,07.01,9.29
18548,22514,3.26,11.44,38.03,2.32,24.32
18549,13469,14.05,28.82,18.19,4.82,26.4
18601,10704,17.8,38.36,18.49,8.66,394.35
18604,11428,8.31,23.57,13.31,6.44,69.85
18609,15094,3.77,14.96,24.11,5.23,195.03
18624,12728,9.92,23.54,14.17,3.33,122.84
18630,52621,3.17,7.27,60.94,2.25,74.04
18659,13006,8.95,23.2,9.13,4.98,65.18
18666,13693,6.12,19.67,17.88,5.91,79.2
18692,13955,4.17,15.13,17.55,4.6,115.53
18697,17437,5.5,14.97,22.1,3.13,43.3
18734,14745,5.79,21.47,16.33,6.25,253
18749,13384,4.85,22.08,11.41,4.98,9.45
18794,11677,17.27,36.09,11.55,6.6,93.97
18811,14085,5.91,22.03,10.38,7.37,41.39
18820,19031,7.7,16.81,28.05,3.76,154.79
18820,14273,15.68,33.26,11.89,4.75,20.69
18827,11208,14.55,36.81,18.14,09.03,281.19
18828,12689,13.23,28.19,9.17,5.69,49.37
18853,8876,26.36,44.73,12.55,8.74,123.52
18859,13509,13.58,23.13,19.83,4.82,05.05
18867,15289,8.8,25.24,20.27,04.06,100.08
18871,9107,21.83,45.84,7.98,8.99,169.92
18893,15325,2.56,12.78,23.47,3.55,77.25
18899,18326,4.65,15.13,27.5,2.61,10.4
18906,10749,21.36,41.31,18.79,11.24,242.33
18910,13915,7.62,20.63,12.56,5.95,201.68
18911,13817,5.14,17.7,17.41,4.2,148.61
18923,9408,31.14,48.61,9.96,14.81,173.22
18942,10346,16.88,41.46,9.16,9.96,705.48
19025,15024,13,30.57,9.26,6.58,135.21
19027,13825,11.51,26.25,26.07,3.32,120.63
19027,19047,2.18,5.7,37.87,4.22,7.81
19033,17729,2.71,10.74,26.07,4.44,30.36
19033,12354,7.5,25.86,5.5,4.96,55.54
19050,14767,5.6,17.5,14.84,5.13,29.54
19082,11388,14.88,28.01,14.24,7.9,224.49
19154,10559,11.24,24.92,16.23,5.77,236.01
19163,15448,6.92,19.22,25.24,4.82,15.18
19195,11758,8.71,26.92,19.63,8.23,5.35
19208,13420,14.3,28.26,23.72,6.43,35.06
19211,16514,7.52,25.96,15.81,4.89,45.77
19212,11415,22.73,36.73,11.64,10.99,94.99
19220,12559,10.79,26.19,13.34,4.56,77.48
19231,17835,8.65,19.81,22.83,2.43,04.07
19278,20979,3.33,9.5,38.04,3.61,89.85
19279,13233,3.29,11.75,24.08,6.18,64.41
19373,18324,2.85,9.84,28.37,3.57,12.51
19378,38132,1.83,4.84,54.39,2.83,708.94
19380,17276,5.42,20.42,18.2,3.88,44.29
19381,11124,10.18,28.99,17.68,8.22,463.63
19382,16791,7.12,20.68,20,4.7,206.63
19386,13485,10.27,18.08,20.05,3.28,9.84
19438,21615,3.77,13.22,36.09,2.22,345.27
19460,15346,5.67,15,27.6,4.74,25.22
19460,10387,15.56,31.12,18.69,12.38,184.79
19478,12800,7.74,23.52,16.92,4.52,53.67
19483,22478,7.21,18.6,31,4.72,117.92
19489,7795,32.9,51.22,7.94,13.67,451.5
19505,41358,3.29,11.17,38.01,2.99,175.95
19512,23952,1.53,6.32,49.66,2.26,43.92
19513,15467,6.1,18.88,15.89,3.79,61.69
19530,17678,5.18,14.96,24.8,6.71,15.2
19536,16589,8.33,23.48,22.36,5.17,162.15
19564,20032,1.93,8.47,35.22,3.59,42.08
19572,21717,2.75,10.62,35.65,3.27,39.46
19587,12461,8.51,25,18.49,5.36,139.85
19631,18134,3.58,10.4,29.51,4.14,20.03
19661,14147,4.85,18.75,14.95,3.23,70.23
19661,14636,9.96,23.65,15.17,3.75,120.02
19749,25940,1.47,05.07,53.18,2.54,34.98
19757,41797,4.85,10.79,53.61,03.06,14.78
19772,10882,5.79,17.17,13.19,9.78,69.83
19781,18888,2.32,8.76,33.42,5.13,5
19788,8515,24.03,41.74,10.58,9.97,48.19
19800,10455,14.66,30.89,11.26,9.11,34.26
19801,10033,8.31,24.93,21.78,6.3,45.11
19807,19016,2.77,9.74,32.25,4.71,52.69
19810,39610,0.82,2.95,67.41,1.85,29.55
19821,25726,1.32,5.83,48.2,5.9,18.98
19833,12127,9.72,25.4,9.84,5.79,119.39
19848,24583,2.33,8.6,43.2,3.69,24.88
19859,10162,11.4,28.08,13.26,8.73,15.03
19872,15619,9.75,20.62,33.06,4.96,16.01
19899,12996,9.34,29.61,9.81,7.4,299
19926,18411,4.84,12.75,25.25,3.3,20.24
19949,21529,05.04,12.33,33.16,2.81,29.15
19952,34754,3.81,09.03,53.11,2.75,4.84
19959,12981,11.78,29.41,12.71,5.71,80.31
19971,30615,1.24,4.38,53.71,3.37,4.73
19974,26746,03.01,8.77,48.1,3.32,14.5
19976,15194,4.16,13.87,28.24,3.61,23.65
19997,37061,1.16,4.2,60.27,03.02,53.35
20009,13413,2.92,15.09,15.25,3.25,71.99
20027,9610,8.95,21.53,33.99,10.69,187.67
20030,12155,6.45,20.57,20.2,4.32,72.88
20051,11018,11.77,40.48,4.86,11.35,299.43
20075,12390,05.08,20.81,19.62,6.17,34.84
20075,21569,2.18,4.85,42.98,3.5,13.59
20079,12029,7.17,23.68,18.11,6.47,9.43
20084,17284,7.74,20.43,21.34,04.04,100.9
20098,16202,10.81,23.2,28.74,3.52,108.87
20121,7241,13.44,43.44,07.03,31.23,1393.57
20123,12389,10.19,23.09,23.16,5.45,88.61
20125,13207,16.03,32.05,14.28,9.36,34.24
20125,6335,40.75,53.35,9.2,13.89,58.93
20183,10268,23.45,41.17,9.4,6.18,296.38
20210,10782,10.55,25.74,16.64,13.48,57.99
20212,20128,3.21,11.27,31.72,4.78,14.41
20244,21005,4.81,15.89,26.83,4.45,33.05
20267,30615,1.85,5.96,54.85,3.64,4.76
20268,9204,2.5,9.36,12.97,5.41,51.18
20314,16966,7.33,22.6,19.69,7.62,227.29
20319,13552,9.27,21.12,15.91,4.9,151.62
20337,8016,24.62,42.28,8.77,11.51,177.91
20384,20380,2.98,9.55,31.41,2.13,14.47
20390,27539,1.6,7.13,44.15,3.61,39.23
20393,23814,13.64,24.95,26.37,5.86,28.65
20412,21764,6.32,15.9,24.29,3.19,128.74
20429,20564,5.42,13.81,29.98,3.25,28.35
20456,17778,10.09,23.77,19.95,5.12,23.83
20457,10370,9.18,25,17.15,8.29,880.79
20463,12053,12.88,27.39,11.57,07.09,14.43
20469,13110,3.87,14.69,23.02,4.24,106.66
20489,18046,7.28,19.05,18.65,4.53,132.77
20526,24583,3.35,9.61,40.97,4.36,23.8
20570,11194,13.25,36.72,9.8,10.81,237.6
20585,10796,14.23,34.17,9.59,8.55,174.01
20586,17341,5.57,17.8,18.27,4.54,15.07
20592,12393,10.6,27.62,20.05,5.75,496.36
20608,28286,4.44,11.13,43.58,3.47,33.93
20612,11490,7.75,30.5,09.03,7.34,47.91
20651,5720,44.85,58.71,8.91,19.01,59.07
20688,14103,12.04,26.61,22.32,6.41,186.12
20710,12382,19.04,33.06,10.72,6.33,44.05
20714,11991,12.54,31.33,12.33,8.97,14.98
20779,22747,3.45,11.43,39.72,4.61,9.48
20807,9717,19,43.05,13.75,7.69,271.33
20816,31438,0.77,3.24,60.32,3.24,28.18
20820,12671,10.14,34.58,9.23,7.71,42.23
20850,8043,39.05,63.37,3.54,11.49,490.9
20906,14343,5.77,16.48,26.51,3.88,18.96
20908,9566,15.97,37.31,16.48,9.18,200.58
20935,13430,5.67,15.49,19.5,4.96,27.5
20958,13663,7.7,20.6,14.81,4.6,39.28
20971,23105,2.6,7.23,41.98,2.91,43.21
20976,13790,5.85,18.64,25.03,5.34,55.68
20999,16577,5.73,17.41,21.03,4.44,21.97
21010,15785,6.63,22.42,16.18,6.34,74.12
21044,16520,11.62,28.39,17.11,6.38,643.73
21080,13000,5.3,19.13,23.11,8.8,904.71
21082,21790,2.35,7.79,40.27,2.44,32.06
21096,19323,2.49,8.76,44.72,3.76,215.73
21101,13989,8.84,24.3,15.86,4.64,109.07
21128,11919,8.49,28.16,11.06,07.01,60.38
21130,16881,4.24,15.89,23.59,5.11,27.64
21160,27093,4.57,12.02,41.42,3.75,55.27
21174,15042,2.59,14.01,22.48,7.93,40.09
21211,17509,3.3,10.12,22.91,4.96,4.61
21249,14088,4.65,17.09,21.74,6.22,8.85
21260,11234,11.4,27.12,20.76,6.58,29.74
21265,7915,3.9,9.9,57.15,8.54,47.01
21282,19655,3.4,11.38,29.77,3.64,31.75
21283,14119,13.36,30.97,18.97,5.86,88.81
21325,13209,14.27,25.61,16.29,5.38,40.43
21385,10490,23.93,42.63,11.21,7.93,80.49
21435,8672,3.54,13.46,12.17,6.5,33.51
21460,9773,15.21,35.87,7.28,9.73,422.84
21472,11889,8.72,24.83,10.19,9.13,215.51
21505,10822,13.37,33.1,10.88,7.26,123.28
21507,12301,9.68,27.58,12.52,05.06,51.91
21531,19373,1.41,07.03,32.79,6.62,8.73
21564,14331,4.92,20.93,14.1,4.15,8.88
21603,9905,3.23,12.18,19.21,7.66,130.59
21605,16409,8.65,24.37,20.43,7.34,9.29
21652,25448,5.33,12.26,47.87,3.45,241.15
21700,10264,19.87,37.63,13.92,8,87.93
21732,11906,11.76,27.29,17.94,7.18,49.32
21744,11852,17.77,30.36,24.39,6.58,29.14
21755,15379,6.19,19.16,20.49,5.11,40.57
21756,12215,9.9,25.4,17.08,9.15,80.19
21761,15284,20.61,38.15,20.04,5.78,56.92
21816,19716,2.92,9.57,36.34,2.24,33.08
21822,14596,06.01,21.32,11.71,4.86,45.03
21847,14677,4.37,13.22,38.29,3.37,61.34
21853,15941,4.78,11.91,25.42,4.28,65.62
21877,7597,38.98,48.47,12.46,17.59,54.56
21884,13120,07.05,18.15,17.47,5.55,47.36
21907,11811,12.26,24.27,15.19,4.37,22.77
21910,10378,10.56,24.61,17.31,7.72,71.3
21923,12529,10.68,30.4,13.88,10.65,147.35
21947,14214,14.9,31.17,18.78,4.77,99.85
21951,12486,5.73,27.56,10.13,6.64,113.76
21976,17330,06.03,20.92,17.93,5.12,4.35
21977,12035,7.28,16.82,30.09,7.2,13.44
22023,28347,2.67,5.48,56.03,2.63,09.07
22090,22823,3.54,11.63,31.93,2.31,22.61
22095,18228,3.51,12.24,30.74,5.23,7.7
22097,11006,11.69,28.82,15.98,8.37,35.27
22113,14070,2.61,10.07,21.46,4.49,18.54
22117,12553,9.38,24.21,16.81,5.42,121.17
22122,12043,15.26,30.1,19.49,6.91,329.04
22124,13944,12.65,26.07,11.35,6.7,18.56
22125,11362,12.58,30.84,13.29,11.56,195.25
22141,14878,7.62,23.05,13.76,6.1,13.16
22156,19129,2.21,8.82,33.01,05.03,4.47
22191,14283,6.41,20.68,23.99,5.93,30.91
22205,12064,12.65,31.22,13.23,8.64,38.05
22207,18818,3.93,9.59,33.58,3.98,18.34
22242,25161,4.26,11.54,43.46,3.4,311.11
22247,21335,06.07,17.51,26.35,3.69,35.52
22259,34664,0.64,2.52,72.9,2.81,105.1
22282,10401,10.39,22.86,14.05,7.84,106.46
22286,13498,09.09,23.23,16.74,6.56,307.25
22353,21269,03.07,9.24,45.34,3.37,26.12
22355,15542,17.26,33.67,15.29,07.04,35.21
22408,20206,7.35,15.83,29.65,2.77,31.29
22430,14246,6.21,16.34,28.98,6.42,17.77
22477,15184,3.46,12.4,18.58,4.46,12.13
22519,12556,5.7,16.7,25.54,4.22,181.64
22539,21074,2.46,8.1,36.72,5.21,12.84
22580,8876,37.18,59.31,5.41,9.65,488.9
22591,20045,6.32,13.89,27.63,2.81,26.11
22608,16750,3.75,16.57,16.76,6.2,12.92
22631,9990,13.4,32.59,12.35,7.17,305.89
22633,22675,4.38,12.62,33.75,2.57,25.84
22676,10385,16.95,35.7,11.45,11.52,137.44
22686,12539,7.2,17.9,12.84,7.31,127.29
22754,12292,14.22,32.03,13.45,5.34,556.96
22762,7491,42.9,58.07,7.6,23.83,262.37
22776,18798,2.99,9.77,33.3,3.28,15.65
22779,14959,8.52,26.36,16.47,4.19,64.74
22792,22957,3.89,10.17,40.55,4.45,29
22814,20409,02.01,7.43,34.87,3.72,31.09
22817,5935,44.2,68.7,2.82,10.24,297.98
22869,21854,3.56,10.69,46.29,3.64,613.61
22897,12008,9.34,30.67,5.88,9.6,216.25
22902,13146,12.86,30.11,14.23,7.38,93.43
22906,8925,17.16,33.68,13.67,8.69,518.4
22911,10954,16.58,35.92,15.48,8.15,162.83
22922,17582,2.64,9.38,42.02,3.15,241.05
22935,14564,1.67,7.65,19.13,4.23,59.08
22965,26185,2.41,9.11,38.21,2.57,101.72
22987,20238,3.77,10.51,46.79,3.7,47.3
23071,12234,11.78,30.81,18.7,6.29,268.91
23079,12331,10.49,28.02,15.81,7.81,160.07
23087,12953,11.71,30.65,20.71,4.31,381.75
23095,14341,13.12,30.85,18.58,5.58,94.11
23101,11897,12.64,32.58,10.03,7.2,166
23123,20148,5.61,13.72,29.89,2.43,21.26
23138,14639,3.49,13.72,20.63,04.02,53.38
23146,11408,10.86,32.44,16.25,7.53,194.38
23163,14885,4.16,14.54,21.44,4.22,30.95
23170,40537,2.39,5.87,49.02,1.84,91.5
23219,15074,6,15.89,20.5,4.46,24.42
23221,17302,4.44,14.51,27.47,2.92,46.75
23229,17056,1.9,14.13,24.07,3.52,60.9
23252,25926,3.97,13.82,23.6,4.13,161.12
23260,17237,2.17,9.43,27.42,3.14,28.37
23285,9032,8.67,15.29,39.3,8.22,12.5
23302,15142,4.93,24.25,10.32,5.1,117.11
23304,9873,09.09,28.3,11.96,11.58,403.8
23330,16302,05.04,18.12,20.42,4.1,41.87
23451,9968,21.02,39.39,15.6,10.6,746.87
23478,9375,1.31,3.27,65.82,4.92,8.67
23500,19200,0.78,4.24,37.46,2.21,07.05
23501,34281,1.27,4.1,58.87,2.24,70.49
23622,12711,11.99,29.76,14.24,7.23,20.42
23644,12676,6.32,22.32,11.34,7.39,115.32
23648,24403,2.24,10.92,35.87,3.91,12.35
23674,11013,13.41,38.11,8.4,6.82,271.42
23682,9835,12.58,31.7,15.95,8.43,151.5
23696,15948,05.02,15.34,18.89,3.62,65.75
23706,11063,13.84,31.86,10.81,10.56,62.31
23748,15456,4.81,18.49,14.77,5.93,89.3
23755,8844,16.59,39.46,15.59,10.89,338.1
23756,14467,10.42,23.91,17.85,2.39,36.79
23782,19045,5.43,15.97,27.01,5.41,73.48
23788,15820,3.86,13.24,17.42,4.76,86.55
