POPULACAO,RENDA,SEM_BASICO,SEM_MEDIO,COM_SUPERIOR,DESEMPREGADOS,VIOLENTOS,N_VIOLENTOS,CRIMES
13852,15525,15.41,31.08,18.72,7.45,219.16,1657.42,1876.58
13864,15436,2.21,11.64,25.33,8.65,292.52,4911.56,5204.08
13874,31122,1.23,3.63,66.98,2.74,354.46,4730.9,5085.36
13882,15627,7.65,19.58,16.17,4.39,113.81,3151.23,3265.04
13883,10459,18.52,38.51,10.94,6.75,260.79,4879.56,5140.35
13887,11090,3.44,22.66,11.22,10.08,198.28,4586.91,4785.19
13899,10343,11.66,37.09,3.91,7.58,692.02,5647.98,6340
13937,34204,2.96,7.26,52.37,02.09,43.01,1791.99,1835
13950,9512,2.54,14.49,19.34,4.52,254.39,3623.5,3877.89
13954,9773,7.64,20.13,30.81,5.3,130.44,2654.8,2785.24
13983,8254,25.43,46.75,11.22,11.14,1029.02,6613.16,7642.18
13986,11166,17.07,35.18,13.62,6.83,243.47,3611.52,3854.99
13989,10172,12.6,29.22,10.18,11.19,259.44,4533.01,4792.45
14044,11294,10.26,32.74,8.24,5.97,522.13,6363.4,6885.53
14049,10458,24.88,44.71,10.09,6.23,583.99,3679.75,4263.74
14061,22884,9.55,26.13,24.07,3.87,271.86,6964.85,7236.71
14062,10443,13.14,36.28,12.31,7.88,1215.48,5422.38,6637.86
14073,11563,14.44,32.13,16.72,8.38,387.44,8076.15,8463.59
14088,18677,9.28,17.23,35.24,2.57,405.71,7505.63,7911.34
14090,10247,11.83,23.16,28.32,6.71,167.73,9111.04,9278.77
14096,11520,11.58,28.76,16.82,7.44,609.46,8899.51,9508.97
14113,24277,03.02,9.47,41.24,4.14,55.84,2450.09,2505.93
14116,22615,3.24,8.19,53.98,2.78,161.4,4152.3,4313.7
14120,12466,9.78,27.01,12.18,9.79,338.62,4727.44,5066.06
14133,20922,3.83,9.35,39.65,4.41,312.39,2159.59,2471.98
14167,19370,3.65,12.43,36.62,2.64,69.41,2151.58,2220.99
14192,12012,18.45,41.63,11.72,5.11,972.89,7722.76,8695.65
14203,12112,12.15,29.5,13.03,8.17,255.86,5111.18,5367.04
14207,8462,28.32,51.75,04.08,8.2,306.54,7310.41,7616.95
14213,27799,1.42,3.84,59.22,3.39,162.1,2512.49,2674.59
14215,11064,13.76,34.07,18.55,7.35,1108.14,7162.88,8271.02
14256,10527,15.3,32.93,12.1,6.56,277.22,4809.76,5086.98
14272,27040,1.31,4.46,61.25,1.96,35.26,2397.74,2433
14280,8232,17.76,38.45,9.72,14.82,1059.43,8049.04,9108.47
14288,18031,8.73,20.88,18.61,4.71,214.31,2468.03,2682.34
14292,8854,17.9,35.87,14.85,8.38,828.73,6192.45,7021.18
14312,16023,13.46,29.53,19.05,5.39,48.01,2489.71,2537.72
14358,33441,1.24,04.03,63.25,2.65,248.57,1464.56,1713.13
14363,12935,12.45,31.09,7.3,7.86,117.03,1239.16,1356.19
14369,15169,10.58,24.42,14.7,3.26,123.17,5166.28,5289.45
14378,16583,4.22,16.06,19.4,5.14,696.31,3461.87,4158.18
14396,15352,5.62,15.58,19.29,4.55,366.66,5020.45,5387.11
14399,13856,17.68,34.12,11.63,3.35,133.68,4398.1,4531.78
14427,16529,6.32,16.88,25.62,2.65,80.61,2377.95,2458.56
14439,9771,13.01,24.76,27.11,6.93,333.19,2950.16,3283.35
14451,17917,4.25,13.26,29.31,4.11,42.54,843.73,886.27
14467,24417,3.24,7.86,38.97,3.39,20.39,1549.65,1570.04
14475,11164,12.27,29.52,14.83,6.93,1240.39,14013.43,15253.82
14490,17229,5.96,13.83,26.47,2.95,208.53,5596.66,5805.19
14507,15356,8.2,20.25,23.29,04.06,130.17,3087.94,3218.11
14510,22124,4.85,14.01,36.07,2.34,291.41,1328.27,1619.68
14514,10915,7.74,15.48,35.68,03.05,105.6,3217.59,3323.19
14519,11345,18.32,36.97,12.11,10.21,1647.53,6002.11,7649.64
14536,17995,10.5,22.03,26.55,5.45,111.83,1888.03,1999.86
14544,16531,2.4,12.83,21.9,7.29,303.91,2289.04,2592.95
14548,14405,5.45,14.97,28.11,3.93,367.13,3885.91,4253.04
14558,14181,6.91,23.47,11.79,4.41,130.01,2181.29,2311.3
14583,19389,4.97,14.58,27.88,4.1,247.89,2994.77,3242.66
14589,15527,4.78,15.31,21.12,4.38,244.05,4021.76,4265.81
14599,11533,7.54,23.71,13.94,7.2,444.17,7031.57,7475.74
14621,15039,6.9,18.3,20.3,5.66,155.67,2260.58,2416.25
14629,20422,7.57,19.18,23.56,04.08,106.6,2072.09,2178.69
14637,18329,2.55,10,27.12,4.97,199,1247.1,1446.1
14658,13906,4.98,16.66,25.78,6.83,319.6,4287.52,4607.12
14669,11889,16.77,38.97,15.76,8.57,1419.06,8956.25,10375.31
14698,12106,6.13,19.12,12.76,3.41,463.84,5932.26,6396.1
14716,11356,13.34,33.43,12.03,6.16,1517.44,9794.39,11311.83
14729,8156,34.76,48.56,12.46,13.57,339.49,2382.75,2722.24
14731,12247,8.78,26.39,11.71,7.78,13.1,2363.96,2377.06
14745,8977,25.43,43.25,11.48,7.7,455.99,5075.34,5531.33
14748,18909,3.98,12.34,29.85,4.13,106.96,2246.14,2353.1
14757,8175,27.77,46.07,8.91,17.23,1339.48,5630.64,6970.12
14771,13547,11.19,30.12,11.83,7.94,231.48,4027.78,4259.26
14790,18705,3.26,9.16,47,4.65,237.45,1948.46,2185.91
14804,11859,11.42,29.25,15.82,5.21,372.56,3353.06,3725.62
14837,18400,05.07,17.21,26.25,2.28,310.48,4482.54,4793.02
14842,12048,12.93,26.71,23.17,5.26,278.88,3893.13,4172.01
14852,23729,4.44,10.16,45.16,2.5,94.07,2966.26,3060.33
14865,9714,23.43,45.64,13.36,7.72,1278.63,8396.95,9675.58
14869,22647,1.33,5.95,54.76,2.57,112.5,3540.47,3652.97
14870,9017,15.47,37.38,11.25,9.68,683.46,4670.33,5353.79
14870,15576,5.23,17.19,20.49,5.36,208.02,3737.89,3945.91
14877,15869,5.39,19,19.52,6.41,202.31,1461.85,1664.16
14903,11457,12.38,33.58,13.66,7.76,2018.97,6665.65,8684.62
14904,19743,2.45,7.58,48.97,2.92,205.84,2024.11,2229.95
14917,11713,16.55,39.6,14.21,4.75,341.75,900.37,1242.12
14936,46038,2.89,9.91,51.24,2.55,33.38,1962.62,1996
14939,11761,17.47,39.42,12.49,6.66,906.29,9165.53,10071.82
14967,16348,6.84,15.17,23.44,2.87,281.32,4638.88,4920.2
14979,9531,16.63,35.44,9.96,7.38,105.23,5092.08,5197.31
14985,16986,3.47,12.82,37.07,5.3,428.64,2913.4,3342.04
14988,10377,13.83,33.47,18.06,9.5,1134.5,5292.15,6426.65
15004,15062,6.81,21.62,14.04,2.91,281.76,2974.9,3256.66
15004,12045,16.4,31.37,17.22,04.01,112.94,4743.62,4856.56
15026,11646,10.27,24.71,19.77,6.82,216.78,4920.19,5136.97
15066,15138,9.46,25.93,18.95,3.76,216.85,3080.55,3297.4
15076,11240,7.53,23.06,13.82,9.82,198.58,6683.69,6882.27
15080,16176,6.68,19.5,20.47,3.4,267.33,2008.22,2275.55
15085,12845,18.01,35.02,18.81,04.05,503.48,6579.17,7082.65
15115,15344,15.09,32.23,14.06,7.19,253.89,3973.1,4226.99
15124,17693,4.42,12.19,28.31,4.5,408.19,2863.5,3271.69
15128,19096,3.31,10.83,29.54,2.38,74.62,4782.25,4856.87
15157,24516,1.95,6.87,42.62,3.85,51.57,1366.51,1418.08
15180,11454,13.16,28.18,21.71,5.51,76.49,3999.56,4076.05
15181,14405,9,19.37,20.74,5.98,64.94,3987.53,4052.47
15195,13137,16.94,35.79,16.24,5.31,568.5,2796.81,3365.31
15197,10676,4.66,14.28,36.89,9.44,399.28,7702.22,8101.5
15223,23583,03.04,9.6,32.49,3.32,434.14,6748.39,7182.53
15238,11034,20.61,42.28,8.87,4.86,478.65,5613.23,6091.88
15244,9490,6.95,16,35.13,8.12,208.53,2818.16,3026.69
15254,18304,05.07,16.98,24,2.17,96.69,2604.1,2700.79
15289,15535,6.37,17.6,26.62,3.63,408.98,4817.69,5226.67
15324,15992,5.9,17.59,20.23,3.96,420.62,4564,4984.62
15337,11025,08.08,28.14,08.06,4.13,981.19,4175.52,5156.71
15346,12589,7.49,24.95,14.8,5.44,391.64,4295.96,4687.6
15351,16134,5.83,18.08,25.47,3.62,560.56,4218.33,4778.89
15372,33124,4.54,9.95,45.5,2.25,43.98,1042.91,1086.89
15392,19337,3.34,11.15,31.52,2.5,372.95,4090,4462.95
15403,13083,9.54,25.96,18.84,4.21,148.02,2354.84,2502.86
15411,15100,12.11,26.72,18.71,4.6,197,2074.61,2271.61
15414,10161,11.13,27.8,9.97,7.84,509.56,4479.11,4988.67
15464,12724,23.35,43.5,13.42,6.62,1640.6,4857.96,6498.56
15467,29244,2.1,5.98,51.96,3.51,44.06,1982.88,2026.94
15472,10647,09.02,29.35,6.79,5.53,386.63,4490.84,4877.47
15489,17412,1.5,7.93,33.6,4.36,541.89,2179.74,2721.63
15512,20399,3.36,13.72,26.62,4.64,291.41,10404.66,10696.07
15517,24141,02.02,6.31,51.19,4.59,112.63,788.39,901.02
15520,11196,14.36,40.94,07.06,8.61,2089.32,12658.07,14747.39
15527,19066,1.19,6.43,35.61,3.54,432.61,1540.52,1973.13
15535,12121,14.93,34.99,7.21,06.09,632.63,4013.04,4645.67
15550,10868,16.78,38.44,8.11,10.84,286.67,4646.44,4933.11
15561,16162,2.4,10.81,21.16,4.63,339.84,4285.71,4625.55
15568,19940,4.45,13,35.58,3.23,107.37,1250.55,1357.92
15571,11401,15.87,24.31,19.23,3.94,129.56,2617.09,2746.65
15600,29785,4.36,11.91,38.37,4.7,37.13,2054.58,2091.71
15607,14506,06.09,18.02,19.99,5.24,659.78,3145.46,3805.24
15614,12684,8.39,24,21.74,8.11,412.04,5133.34,5545.38
15616,24637,3.8,10.04,42.03,2.46,56.31,2239.74,2296.05
15644,11819,3.87,15.92,22.23,07.05,94.16,3842.98,3937.14
15648,17668,2.52,7.34,37.44,1.9,232.83,2741.56,2974.39
15655,10912,21.8,43.91,11.92,7.91,1770.94,11428.4,13199.34
15675,11781,12.89,30.94,12.41,7.4,243.47,3395.41,3638.88
15698,11612,8.41,23.23,9.77,8.37,173.57,2735.22,2908.79
15714,10162,11.04,27.26,11.04,7.39,212.73,3025.47,3238.2
15718,14640,6.45,20.44,22.69,5.68,76.88,1738.62,1815.5
15722,11736,13.79,34.35,11.85,6.92,634.79,7937.83,8572.62
15743,14824,8.47,22.98,17.39,7.74,627.91,6194.98,6822.89
15745,13301,5.79,23.01,12.44,9.34,929.91,4067.56,4997.47
15757,12236,12.66,33.88,8.82,6.47,238.59,2059.4,2297.99
15791,8791,31.51,46.11,10.39,15.46,724.94,5216.01,5940.95
15799,10832,19.51,37.65,11.36,6.17,513.59,3147.21,3660.8
15820,10491,12.72,29.43,23.32,8.39,532.85,4783.1,5315.95
15849,24965,2.91,11.13,46.4,3.98,82.38,1907.48,1989.86
15850,28597,6.1,12.51,49.26,3.51,50.49,1609.44,1659.93
15854,9178,13.55,30.65,26.7,7.5,353.53,4070.92,4424.45
15915,11102,19.3,42.61,9.83,4.6,861.93,8013.12,8875.05
15940,9704,11.84,24.56,29.06,06.07,363.7,2627.45,2991.15
15945,13570,7.78,17.69,21.02,5.87,101.21,3500.34,3601.55
15979,13303,5.45,17.79,16.17,2.84,591.05,3137.58,3728.63
15989,41249,2.29,5.34,62.17,3.83,43.13,1336.95,1380.08
15990,19643,7.21,18.46,25.49,5.73,155.14,1725.21,1880.35
16021,30761,2.23,6,65.87,2.85,103.24,2641.81,2745.05
16023,15534,04.07,14.21,21.25,5.39,560.71,5618.16,6178.87
16027,12545,11.31,33.85,12.21,8.58,1730.67,5524.15,7254.82
16029,11647,17.3,35.69,20.73,7.5,800.14,7898.5,8698.64
16064,15639,8.71,22.19,16.69,3.93,234.77,5116.78,5351.55
16064,14962,04.06,13.5,22.36,6.19,399.23,4221.22,4620.45
16113,12339,5.75,23.97,11.33,6.25,167.79,3112.31,3280.1
16116,30643,05.08,12.1,45.01,03.03,181.86,2837.05,3018.91
16117,19533,3.76,10.76,35.8,3.63,554.08,3860.52,4414.6
16121,13266,7.46,21.1,13.37,4.97,82.54,4387.58,4470.12
16127,11070,14.65,35.05,14.58,06.03,900.31,8203.94,9104.25
16139,19314,5.19,12.22,37.87,2.42,127.65,3446.55,3574.2
16162,13742,18.52,37.05,15.82,5.68,682.23,7554.61,8236.84
16169,8990,27.72,42.85,9.37,11.09,781.32,7265.84,8047.16
16189,22036,8.68,21.61,32.43,05.03,794.37,5615.18,6409.55
16192,14248,5.17,15.74,13.87,3.85,133.38,4662.49,4795.87
16196,14624,12.82,33.22,13.36,6.53,349.65,3662.44,4012.09
16200,11749,18.7,32.58,14.92,9.11,1046.93,5808.08,6855.01
16202,17574,7.61,17.31,28.55,2.11,150.18,2432.92,2583.1
16210,9361,16.5,39.28,7.75,8.24,619.51,3424.1,4043.61
16234,12898,03.04,9.95,42.71,6.19,144.9,5633.8,5778.7
16270,9723,9.93,15.55,34.66,3.91,45.89,3092.01,3137.9
16312,11005,18.2,36.91,16.75,8.37,825.36,7165.89,7991.25
16317,11400,25.26,44.8,11.96,7.35,966.56,6504.83,7471.39
16327,18158,2.94,8.15,55.47,2.96,601.38,4020.99,4622.37
16362,12533,16.42,34.52,15.32,3.91,628.09,7404.06,8032.15
16366,30737,0.57,02.09,58.44,1.32,64.07,3198.79,3262.86
16367,20168,1.96,7.91,36.54,2.64,280.44,1968.36,2248.8
16370,10560,13.4,34.63,11.75,09.04,428.7,4078.29,4506.99
16376,14770,5.27,12.1,18.08,3.59,155.08,4888,5043.08
16389,11390,07.03,25.58,12.37,5.14,988.71,2983.68,3972.39
16390,30465,3.25,9.98,53.09,3.64,672.35,7311.8,7984.15
16392,27417,0.72,4.95,54.34,3.1,64.88,2335.71,2400.59
16392,21878,2.96,9.51,39.26,5.41,94.15,1253.38,1347.53
16410,9009,20.25,43.86,11.17,8.17,730.58,9118.29,9848.87
16425,17659,7.25,18.25,20.88,2.87,83.81,2675.85,2759.66
16433,8937,15.03,37.67,10.36,9.38,2089.44,9833.62,11923.06
16444,19266,2.42,7.82,39.7,2.92,210.79,3812.33,4023.12
16466,8651,13.8,39.44,3.37,10.59,1509.31,11402.45,12911.76
16491,10590,8.87,27.12,18.94,7.43,1964.1,12766.65,14730.75
16512,9257,17.43,37.86,17.47,10.62,607.8,5183.18,5790.98
16513,13686,06.09,19.02,12.46,4.93,145.76,5054.8,5200.56
16534,17106,05.02,13.06,26.02,2.2,295.76,2869.55,3165.31
16543,14501,5.99,20.63,18.03,6.83,559.59,4770.35,5329.94
16554,21918,5.45,14.72,31.9,2.38,96.55,3325.09,3421.64
16565,11816,09.02,26.57,12.41,10.96,525.42,8762.92,9288.34
16581,11672,18.6,40.25,12.41,6.12,1012.03,7900.17,8912.2
16603,11523,11.34,30.52,12.13,7.2,120.26,1906.19,2026.45
16609,7371,17.18,32.7,22.05,14.52,788.52,6474.18,7262.7
16642,40558,0.62,2.95,66.02,2.98,51.42,2205.46,2256.88
16685,16342,05.02,16.6,25.56,3.37,203.29,1469.48,1672.77
16786,22156,1.89,6.75,39.95,4.75,39.21,1243.63,1282.84
16787,19974,6.6,17.63,22.86,4.18,65.46,2475.6,2541.06
16797,10963,17.15,31.84,12.11,9.86,571.65,3706.08,4277.73
16799,11267,11.2,31.25,13.53,11.82,2052.79,7331.38,9384.17
16812,10268,9.27,29.84,6.83,9.68,82.26,5153.06,5235.32
16829,18948,3.93,9.73,34.73,4.37,324.66,2115.36,2440.02
16839,8461,34.08,50.77,6.69,15.72,754.26,4630.91,5385.17
16848,14479,8.27,24.64,21.32,4.29,364.21,5297.13,5661.34
16857,17899,5.94,13.7,34.67,5.48,139.76,1176.33,1316.09
16881,22512,1.79,5.29,46.99,2.28,44.22,2235.18,2279.4
16896,21441,04.04,10.87,36.09,4.25,99.13,1737.61,1836.74
16919,20808,7.94,19.73,26.56,5,47.5,2707.68,2755.18
16922,19940,6.2,19.28,23.32,3.96,353.42,3769.81,4123.23
16925,11946,11.29,35.51,7.38,6.32,1358.47,10029.92,11388.39
16946,11397,07.03,21.68,17.91,8.14,488.03,4004.23,4492.26
16996,9100,21.98,41.94,11.8,8.52,457.72,8759.58,9217.3
17032,11346,07.09,23.31,15.61,7.28,322.81,7446.99,7769.8
17038,19544,5.85,17.15,28.03,5.16,297.32,3309.77,3607.09
17084,19342,10.55,22.97,22.52,3.95,77.05,2140.89,2217.94
17118,18380,6.29,16.84,29.72,03.05,40.21,1654.22,1694.43
17140,13022,7.32,19.53,14.37,5.2,546.28,4107.57,4653.85
17173,12002,12.33,25.49,22.24,7.63,215.44,5884.53,6099.97
17176,11252,4.32,12.44,17.41,5.35,99.93,3355.42,3455.35
17187,19349,7.41,18.96,20.95,04.09,57.31,1690.74,1748.05
17208,8836,18.11,39.82,7.97,11.14,1590.48,7488.99,9079.47
17215,11964,8.72,26.26,11.07,5.64,253.7,2957.71,3211.41
17283,16778,3.91,13.79,19.9,4.22,564.85,4979.08,5543.93
17301,20421,2.76,8.31,37.73,4.44,61.66,1154.71,1216.37
17336,16075,7.97,20.56,40.51,5.77,1026.28,6798.44,7824.72
17350,20310,5.71,19.48,23.51,7.16,657.11,7429.13,8086.24
17363,10893,13.04,30.14,15.99,5.41,2210.88,12923.03,15133.91
17384,13221,12.56,26.53,20.47,6.59,242.89,4382.43,4625.32
17392,17207,8.24,23.93,16.74,4.76,86.15,2940.5,3026.65
17400,15365,7.65,16.78,42.32,4.72,350.03,5885.84,6235.87
17406,9710,13.37,35.63,5.85,5.17,2008.28,5983.44,7991.72
17457,11204,15.97,34.89,18.42,6.6,591.24,7995.1,8586.34
17460,18000,3.79,14.57,20.42,4.48,803.36,5154.47,5957.83
17488,11607,7.68,23.86,14,9.34,213.5,10009.15,10222.65
17541,20528,5.13,13.56,32.18,5.14,95.47,1173.76,1269.23
17592,10660,14.04,23.65,14.08,5.53,158.85,4015.12,4173.97
17623,17910,14.86,32.3,15,05.05,122.88,4552.31,4675.19
17625,14716,8.35,20.07,18.13,5.17,52.95,1879.8,1932.75
17635,13671,2.38,11.26,17.9,5.31,375.3,5079.82,5455.12
17637,8940,24.71,53.08,5.65,9.85,1483.15,5038.73,6521.88
17647,13486,6.56,18.19,17.65,5.91,214.08,7759.28,7973.36
17648,11267,8.68,26.83,10.41,10.08,340.43,5221.83,5562.26
17651,17275,4.44,16.39,20.63,6.12,426.25,2950.98,3377.23
17655,15030,16.38,30.13,21.2,6.26,96.73,2015.15,2111.88
17655,17445,6.92,18.89,29.14,2.82,682.12,2590.08,3272.2
17710,12919,5.96,20.41,14.37,7.46,239.32,6461.68,6701
17728,15609,6.52,17.03,20.94,5.35,54.99,1792.59,1847.58
17737,10936,09.09,24.67,15.75,9.39,506.21,4315.83,4822.04
17753,10160,16.46,36.54,7.94,11.23,121.81,6164.6,6286.41
17779,17245,6.65,18.65,23.32,03.04,786.35,6424.63,7210.98
17790,20579,07.01,16.92,32.44,4.17,129.13,2094.09,2223.22
17825,19810,05.05,12.9,25.01,2.94,70.4,1348.5,1418.9
17834,13678,9.31,23.03,14.92,4.12,186.81,5961.54,6148.35
17837,8809,13.53,35.31,10.42,15.88,765.29,6915.16,7680.45
17864,52692,1.83,5.11,62.6,2.77,49.63,1637.81,1687.44
17866,9292,4.64,13.48,10.08,3.28,570.7,4767.39,5338.09
17885,14978,13.78,31.82,24.89,05.04,1232.52,7787.5,9020.02
17894,12434,7.67,19.31,19.17,4.83,266.29,5175.75,5442.04
17905,27731,4.63,10.36,43.34,3.98,80.24,2086.23,2166.47
17906,13557,8.74,25.82,15.15,6.91,985.82,4019.51,5005.33
17916,14652,5.58,17.63,13.22,4.13,416.93,3752.41,4169.34
17930,19537,7.38,18.15,22.31,4.4,336.13,4711.48,5047.61
17987,13127,12.9,29.94,10.78,6.31,422.22,5591.64,6013.86
18004,10050,12.73,31.64,13.94,9.47,657.14,6149.72,6806.86
18041,13082,6.38,19.48,31.7,5.7,465.66,4402.58,4868.24
18042,10087,12.27,28.73,14.2,6.87,1163.91,6141.39,7305.3
18045,18695,8.52,23.89,22.57,4.91,75.22,3771.56,3846.78
18059,10473,10.93,28.67,14.11,11.12,84.57,2627.42,2711.99
18074,11783,11.11,29.49,12.41,5.72,279.58,4946.5,5226.08
18082,20589,3.82,10.41,38.96,2.23,212.07,2974.44,3186.51
18100,9946,10.37,29.89,7.25,6.82,389.09,4569.52,4958.61
18150,11901,5.32,19.47,11.63,5.53,201.24,3085.62,3286.86
18167,12955,13.85,25.81,19.9,6.32,450.38,4601.05,5051.43
18168,10722,11.83,29.57,16.26,7.35,661.06,8268.23,8929.29
18177,18770,6.17,18.86,20.15,4.48,96.47,2744.13,2840.6
18177,11742,13.94,30,14.25,05.06,460.14,4682.64,5142.78
18196,51795,1.85,6.27,59.34,3.31,27.07,3789.93,3817
18219,33510,0.7,4.11,55.06,1.87,538.17,5550.57,6088.74
18245,13106,10.99,21.56,12.43,07.06,264.97,5531.82,5796.79
18261,20404,8.68,20.14,31.88,2.65,113.07,4485.25,4598.32
18262,17752,12.36,29.89,14.99,4.55,178.33,3498.37,3676.7
18296,12371,13.48,28.37,19.3,8.32,1199.16,8097.01,9296.17
18334,14458,8.25,24.14,11.26,6.57,403.14,5431.47,5834.61
18387,9185,16.36,35.35,15.25,9.51,695.28,5849.76,6545.04
18400,9511,15.22,32.97,12.63,6.41,325.15,5742.97,6068.12
18403,14833,10.97,27.16,12.52,7.55,346.99,2952.19,3299.18
18419,13797,10.23,24.39,27.48,3.54,352.5,3367.18,3719.68
18458,10198,08.08,20.46,41.21,6.7,709.29,5314.62,6023.91
18519,10204,3.54,7.68,48.53,06.09,159.72,2313.36,2473.08
18530,22035,3.28,9.89,32.68,5,133.14,2135.59,2268.73
18540,10444,20.78,39.87,11.26,07.01,92.91,3121.66,3214.57
18548,22514,3.26,11.44,38.03,2.32,58.37,1916.34,1974.71
18549,13469,14.05,28.82,18.19,4.82,337.96,4198.13,4536.09
18601,10704,17.8,38.36,18.49,8.66,962.82,10739.53,11702.35
18604,11428,8.31,23.57,13.31,6.44,161.19,3868.68,4029.87
18609,15094,3.77,14.96,24.11,5.23,326.81,5998.63,6325.44
18624,12728,9.92,23.54,14.17,3.33,464.08,5286.86,5750.94
18630,52621,3.17,7.27,60.94,2.25,116.35,3601.46,3717.81
18659,13006,8.95,23.2,9.13,4.98,217.26,3590.24,3807.5
18666,13693,6.12,19.67,17.88,5.91,1678.99,4102.43,5781.42
18692,13955,4.17,15.13,17.55,4.6,245.51,4178.5,4424.01
18697,17437,5.5,14.97,22.1,3.13,204.68,3192.28,3396.96
18734,14745,5.79,21.47,16.33,6.25,602.9,5151.53,5754.43
18749,13384,4.85,22.08,11.41,4.98,240.92,2078.51,2319.43
18794,11677,17.27,36.09,11.55,6.6,930.28,4477.54,5407.82
18820,19031,7.7,16.81,28.05,3.76,443.73,5737.58,6181.31
18820,14273,15.68,33.26,11.89,4.75,331.11,2612.65,2943.76
18828,12689,13.23,28.19,9.17,5.69,399.86,3134.72,3534.58
18853,8876,26.36,44.73,12.55,8.74,765.85,5850.09,6615.94
18859,13509,13.58,23.13,19.83,4.82,151.58,3910.87,4062.45
18867,15289,8.8,25.24,20.27,04.06,309.84,3644.04,3953.88
18871,9107,21.83,45.84,7.98,8.99,1093.88,7205.82,8299.7
18893,15325,2.56,12.78,23.47,3.55,270.39,4181.35,4451.74
18899,18326,4.65,15.13,27.5,2.61,62.43,1050.88,1113.31
18906,10749,21.36,41.31,18.79,11.24,489.94,11189.55,11679.49
18910,13915,7.62,20.63,12.56,5.95,479.67,6230.24,6709.91
18911,13817,5.14,17.7,17.41,4.2,575.26,5690.32,6265.58
18923,9408,31.14,48.61,9.96,14.81,989.2,5875.92,6865.12
18942,10346,16.88,41.46,9.16,9.96,2241.85,8005.85,10247.7
19025,15024,13,30.57,9.26,6.58,462.84,3479.12,3941.96
19027,13825,11.51,26.25,26.07,3.32,446.77,3471.38,3918.15
19027,19047,2.18,5.7,37.87,4.22,11.72,917.97,929.69
19033,17729,2.71,10.74,26.07,4.44,170.78,2724.96,2895.74
19050,14767,5.6,17.5,14.84,5.13,649.83,5764.78,6414.61
19082,11388,14.88,28.01,14.24,7.9,1392.77,13735.28,15128.05
19154,10559,11.24,24.92,16.23,5.77,1607.83,11977.58,13585.41
19163,15448,6.92,19.22,25.24,4.82,75.88,1365.91,1441.79
19208,13420,14.3,28.26,23.72,6.43,604.73,2502.19,3106.92
19211,16514,7.52,25.96,15.81,4.89,300.04,3951.38,4251.42
19212,11415,22.73,36.73,11.64,10.99,918.22,4758.46,5676.68
19220,12559,10.79,26.19,13.34,4.56,350.93,5660.38,6011.31
19231,17835,8.65,19.81,22.83,2.43,73.27,2377.37,2450.64
19279,13233,3.29,11.75,24.08,6.18,280.63,6817.87,7098.5
19378,38132,1.83,4.84,54.39,2.83,2008.66,14021.27,16029.93
19380,17276,5.42,20.42,18.2,3.88,142.71,3110.08,3252.79
19381,11124,10.18,28.99,17.68,8.22,1252.77,10954.38,12207.15
19382,16791,7.12,20.68,20,4.7,1287.84,3061.03,4348.87
19460,15346,5.67,15,27.6,4.74,786.89,2133.67,2920.56
19460,10387,15.56,31.12,18.69,12.38,549.22,7365.77,7914.99
19478,12800,7.74,23.52,16.92,4.52,121.99,3635.21,3757.2
19483,22478,7.21,18.6,31,4.72,446.04,4101.51,4547.55
19489,7795,32.9,51.22,7.94,13.67,822.2,8787.61,9609.81
19505,41358,3.29,11.17,38.01,2.99,541.74,5922.12,6463.86
19513,15467,6.1,18.88,15.89,3.79,128.51,4467.18,4595.69
19530,17678,5.18,14.96,24.8,6.71,91.21,2153.53,2244.74
19564,20032,1.93,8.47,35.22,3.59,149.6,2248.71,2398.31
19572,21717,2.75,10.62,35.65,3.27,172.63,4655.98,4828.61
19587,12461,8.51,25,18.49,5.36,1205.17,4972.85,6178.02
19631,18134,3.58,10.4,29.51,4.14,70.12,1843.04,1913.16
19661,14147,4.85,18.75,14.95,3.23,122.9,3256.96,3379.86
19661,14636,9.96,23.65,15.17,3.75,525.08,6706.01,7231.09
19757,41797,4.85,10.79,53.61,03.06,88.69,2049.66,2138.35
19772,10882,5.79,17.17,13.19,9.78,369.08,3451.37,3820.45
19781,18888,2.32,8.76,33.42,5.13,40.02,2496.5,2536.52
19788,8515,24.03,41.74,10.58,9.97,674.67,6809.31,7483.98
19800,10455,14.66,30.89,11.26,9.11,582.45,5599.33,6181.78
19801,10033,8.31,24.93,21.78,6.3,205.49,5117.28,5322.77
19807,19016,2.77,9.74,32.25,4.71,138.91,2241.7,2380.61
19821,25726,1.32,5.83,48.2,5.9,37.95,2334.19,2372.14
19833,12127,9.72,25.4,9.84,5.79,225.01,7833.95,8058.96
19848,24583,2.33,8.6,43.2,3.69,44.79,2662.35,2707.14
19859,10162,11.4,28.08,13.26,8.73,140.25,6767.18,6907.43
19872,15619,9.75,20.62,33.06,4.96,504.2,4957.98,5462.18
19926,18411,4.84,12.75,25.25,3.3,24.29,2724.37,2748.66
19949,21529,05.04,12.33,33.16,2.81,199.2,2992.91,3192.11
19952,34754,3.81,09.03,53.11,2.75,96.77,1437,1533.77
19959,12981,11.78,29.41,12.71,5.71,476.86,3915.27,4392.13
19971,30615,1.24,4.38,53.71,3.37,127.67,1584,1711.67
19974,26746,03.01,8.77,48.1,3.32,43.5,1822.05,1865.55
19976,15194,4.16,13.87,28.24,3.61,106.42,3121.55,3227.97
20009,13413,2.92,15.09,15.25,3.25,173.62,2151.18,2324.8
